iNaturalist taxon name,commonName,hulquminumName,taxonLink
Clinocardium nuttallii,Nuttall's cockle,stl'ula'um,/taxa/clinocardium_nuttallii/
Fragaria vesca,woodland strawberry,stsi'yu,/taxa/fragaria_vesca/
Typha angustifolia,narrow-leaved cattail,stth'e'qun,/taxa/typha_angustifolia/
Fritillaria affinis,checker lily,stł’əәlts’əә́ ləәqw’əәs,/taxa/fritillaria_affinis/
Prunus emarginata,Bitter cherry,st’əә́ ləәm,/taxa/prunus_emarginata/
Berberis nervosa,Cascade Oregon-grape,suniiulhp / lulutth'sulhp,/taxa/berberis_nervosa/
Berberis aquifolium,Oregon grape,suniiulhp / lulutth'sulhp,/taxa/berberis_aquifolium/
Pteridium aquilinum,common bracken,suqeen,/taxa/pteridium_aquilinum/
Gavia immer,Common Loon,swakwun,/taxa/gavia_immer/
Tresus,gaper,sweem,/taxa/tresus/
Lilium columbianum,Columbia lily,sxamelexwthelh,/taxa/lilium_columbianum/
Equisetum arvense,field horsetail,sxə́m’xəm’,/taxa/equisetum_arvense/
Poaceae,grasses,sáxw əl,/taxa/poaceae/
Taraxacum,dandelions,səәxwsəәxwʔéʔł,/taxa/taraxacum/
Abies grandis,grand fir,t'a'hw,/taxa/abies_grandis/
Spiraea douglasii,Rose Spirea,t'eets'ulhp,/taxa/spiraea_douglasii/
Ribes lacustre,swamp currant,t'emhw,/taxa/ribes_lacustre/
Actinopterygii,Ray-finned Fishes,t'emkw',/taxa/actinopterygii/
Gaultheria shallon,salal,t'eqe',/taxa/gaultheria_shallon/
Sebastes,Rockfishes,t'q'as,/taxa/sebastes/
Rumex occidentalis,western dock,t'umasu,/taxa/rumex_occidentalis/
Rubus parviflorus,thimbleberry,t'uqwum',/taxa/rubus_parviflorus/
Oncorhynchus kisutch,coho,the'wun,/taxa/oncorhynchus_kisutch/
Apostichopus californicus,giant sea cucumber,thikwt,/taxa/apostichopus_californicus/
Tsuga heterophylla,western hemlock,thq'iinlhp,/taxa/tsuga_heterophylla/
Arctostaphylos uva-ursi,bearberry,tl'ikw'iyelhp,/taxa/arctostaphylos_uva-ursi/
Magallana gigas,Pacific Oyster,tl'uxwtl'uxw,/taxa/magallana_gigas/
Polypodium glycyrrhiza,licorice fern,tlu'siip,/taxa/polypodium_glycyrrhiza/
Acer macrophyllum,bigleaf maple,"ts'alhulhp, q'um'-unulhp",/taxa/acer_macrophyllum/
Pseudotsuga menziesii menziesii,Coast Douglas-fir,ts'sey',/taxa/pseudotsuga_menziesii_menziesii/
Rubus leucodermis,whitebark raspberry,tsulqama',/taxa/rubus_leucodermis/
Lysichiton americanus,western skunk cabbage,ts’ákw’aʔ,/taxa/lysichiton_americanus/
Sambucus racemosa,red-berried elder,tth'iwuq',/taxa/sambucus_racemosa/
Hexagrammos decagrammus,kelp greenling,tth'umuqwa',/taxa/hexagrammos_decagrammus/
Gastropoda,Gastropods,tth'uqw'iye,/taxa/gastropoda/
Aves,Birds,tth'utth'uxals,/taxa/aves/
Urtica dioica,great stinging nettle,tth'uxtth'ux,/taxa/urtica_dioica/
Anas platyrhynchos,Mallard,tunuqsun,/taxa/anas_platyrhynchos/
Vicia gigantea,giant vetch,tł’íkw’əәn’,/taxa/vicia_gigantea/
Achillea millefolium,common yarrow,tł’əlíqw’əłp,/taxa/achillea_millefolium/
Taxus brevifolia,Pacific yew,təxwátsəłp,/taxa/taxus_brevifolia/
Ribes divaricatum,spreading gooseberry,t’eməәxw,/taxa/ribes_divaricatum/
Cryptochiton stelleri,giant Pacific chiton,ukws',/taxa/cryptochiton_stelleri/
Embiotoca lateralis,striped seaperch,wiitsi',/taxa/embiotoca_lateralis/
Chamaenerion angustifolium,fireweed,xats'et,/taxa/chamaenerion_angustifolium/
Mesocentrotus franciscanus,red sea urchin,xihwu,/taxa/mesocentrotus_franciscanus/
Thuja plicata,western redcedar,xpey',/taxa/thuja_plicata/
Ophiodon elongatus,lingcod,xuy'xuy'tl,/taxa/ophiodon_elongatus/
Galium aparine,catchweed bedstraw,xw ə́ m’kw ’eyathən,/taxa/galium_aparine/
Galium triflorum,fragrant bedstraw,xw ə́ m’kw ’eyathən,/taxa/galium_triflorum/
Rosa gymnocarpa,Baldhip Rose,xwiinlhp,/taxa/rosa_gymnocarpa/
Salix lucida,shining willow,xwálaʔałp,/taxa/salix_lucida/
Cirsium vulgare,Bull Thistle,xəw’xəwíłp,/taxa/cirsium_vulgare/
Cirsium arvense,creeping thistle,xəw’xəwíłp,/taxa/cirsium_arvense/
Cirsium brevistylum,Short-styled Thistle,xəw’xəwíłp,/taxa/cirsium_brevistylum/
Haliaeetus leucocephalus,Bald Eagle,yuxwule',/taxa/haliaeetus_leucocephalus/
