iNaturalist taxon name,commonName,hulquminumName,taxonLink
Zostera marina,Eelgrass,chəәləәm,/taxa/zostera_marina/
Phalaris arundinacea,reed canary grass,ch’áxəәy’,/taxa/phalaris_arundinacea/
Phoca vitulina richardii,Pacific Harbor Seal,e s-hw,/taxa/phoca_vitulina_richardii/
Branta canadensis,Canada Goose,exu,/taxa/branta_canadensis/
Metacarcinus magister,Dungeness crab,ey'x,/taxa/metacarcinus_magister/
Odocoileus hemionus columbianus,Columbian Black-tailed Deer,ha'put,/taxa/odocoileus_hemionus_columbianus/
Lophodytes cucullatus,Hooded Merganser,hwuhwts'i'qw,/taxa/lophodytes_cucullatus/
Cancer productus,red rock crab,kwakwatl'shun,/taxa/cancer_productus/
Alnus rubra,Red Alder,kwulala'ulhp,/taxa/alnus_rubra/
Ulva fenestrata,NA,kw’éqeq,/taxa/ulva_fenestrata/
Mytilus edulis,Blue Mussel Complex,lhew'qum',/taxa/mytilus_edulis/
Pyropia,NA,lhuq'us,/taxa/pyropia/
Rubus spectabilis,Salmonberry,lila',/taxa/rubus_spectabilis/
Athyrium filix-femina,lady fern,lə́q’ləq’ʔey’,/taxa/athyrium_filix-femina/
Dendragapus fuliginosus,Sooty Grouse,miit',/taxa/dendragapus_fuliginosus/
Oemleria cerasiformis,Osoberry,məә́ łxəәl’,/taxa/oemleria_cerasiformis/
Quercus garryana,Oregon oak,p'hwulhp,/taxa/quercus_garryana/
Corylus cornuta,beaked hazelnut,p'qw'axw,/taxa/corylus_cornuta/
Symphoricarpos albus,Common Snowberry,"p'up'q'iyasulhp, p'up'q'iyas, t'ets'ulhp",/taxa/symphoricarpos_albus/
Carex obnupta,slough sedge,psháyʔ,/taxa/carex_obnupta/
Scirpus microcarpus,Panicled Bulrush,psháyʔ,/taxa/scirpus_microcarpus/
Panopea generosa,Pacific geoduck,pun'eq',/taxa/panopea_generosa/
Nereocystis luetkeana,Bull Kelp,q'am',/taxa/nereocystis_luetkeana/
Ariolimax columbianus,Pacific Banana Slug,q'iyatl'un,/taxa/ariolimax_columbianus/
Orcinus orca,killer whale,q'ul-lhanamutsum,/taxa/orcinus_orca/
Arbutus menziesii,Pacific madrone,qaanlhp,/taxa/arbutus_menziesii/
Rosa nutkana,Nootka rose,qel'qulhp,/taxa/rosa_nutkana/
Holodiscus discolor,Ocean spray,qethulhp,/taxa/holodiscus_discolor/
Lonicera ciliosa,orange honeysuckle,qit'a'uylhp,/taxa/lonicera_ciliosa/
Balanus nubilus,giant acorn barnacle,qumine',/taxa/balanus_nubilus/
Fucus distichus,Rockweed,qw'aqwuqw,/taxa/fucus_distichus/
Nuphar polysepala,western yellow pond-lily,qw’əә́ m’əәtx,/taxa/nuphar_polysepala/
Saxidomus gigantea,Washington butter clam,s-axwa',/taxa/saxidomus_gigantea/
Cygnus buccinator,Trumpeter Swan,s-hwuw'qun,/taxa/cygnus_buccinator/
Goodyera oblongifolia,Western Rattlesnake Plantain,sh-qulii-qep'nuts,/taxa/goodyera_oblongifolia/
Eumetopias jubatus,Steller sea lion,shes / ts'axulus,/taxa/eumetopias_jubatus/
Podiceps auritus,Horned Grebe,shhw'un'ets,/taxa/podiceps_auritus/
Cornus sericea,red osier dogwood,sháalʔəłp,/taxa/cornus_sericea/
Strongylocentrotus droebachiensis,green sea urchin,skw'itth'i',/taxa/strongylocentrotus_droebachiensis/
Leukoma staminea,Pacific Littleneck Clam,skw'lhey,/taxa/leukoma_staminea/
Clupea pallasii,Pacific herring,slhewut',/taxa/clupea_pallasii/
Ardea herodias fannini,Northwest Coast Great Blue Heron,smuqw'a',/taxa/ardea_herodias_fannini/
Ribes bracteosum,Stink Currant,sp'eetth',/taxa/ribes_bracteosum/
Camassia,camas,speenhw,/taxa/camassia/
Camassia leichtlinii,Leichtlin's Camassia,spánxw,/taxa/camassia_leichtlinii/
Lontra canadensis,North American River Otter,sqeetl',/taxa/lontra_canadensis/
Enteroctopus dofleini,giant Pacific octopus,sqi'mukw,/taxa/enteroctopus_dofleini/
Rubus ursinus,trailing blackberry,sqw''iil'muhw,/taxa/rubus_ursinus/
Vaccinium parvifolium,Red Huckleberry,sqw'uqwtsus,/taxa/vaccinium_parvifolium/
Castor canadensis,American Beaver,sqwul'ew',/taxa/castor_canadensis/
Ribes sanguineum,Red-flowering Currant,sqwuliius / hwihwukw',/taxa/ribes_sanguineum/
Polystichum munitum,western sword fern,sthxélem,/taxa/polystichum_munitum/
Dryopteris expansa,spreading wood fern,sthxélem,/taxa/dryopteris_expansa/
Struthiopteris spicant,deer fern,sthxélem,/taxa/struthiopteris_spicant/
